text,label
Aaj Guwahati mein Airport road pe car engine mein paani ghus gaya because flyover pe standing water tha. Insurance company ka number dhoond raha hoon #CarDamage,flood
"Silapathar mein ek bike gang raat ko racing kar rahi thi aur ek ne control khoya, 3 bikers in chain collision, all hospitalized, police action pending #NightBikeRace",accident
"Dima Hasao ke ek highway section pe orange bellied squirrel frequently spotted hota hai, ek tourist ne photo share ki toh viral ho gayi #SquirrelSighting",animal
"Kamrup mein ek bridge ke paas smooth-coated otter family spotted ki gayi, river bank pe they, crossing road briefly, endangered species tha #OtterFamily",animal
"Jorhat mein ek town se doosre town ki shared taxi service ka wait hota hai ek junction pe aur 10-20 taxis park hoti hain ek side, road narrow ho jaati hai #TaxiWaitJam",traffic
"Goalpara-Rongjuli road pe ek jagah road pe itna pani tha ki depth ka pata nahi tha, ek bike andar ghusa, nikal nahi paa raha tha, locals ne help ki #WaterfilledPothole",pothole
"Haflong ke hilly roads pe pothole ki wajah se gaadi ek taraf tilt ho jaye toh khadayee mein ja sakti hai, bahut serious risk hai is area mein #HillRiskPothole",pothole
Aaj Sivasagar ke paas ek jeep wala pothole mein fas gaya aur traffic ruk gayi teen baar. Aage-peeche ghanta bhar gaadiyan khadi rahi hongi #TrafficHalt,pothole
Bongaigaon mein ek night market recently shuru hua tha aur pehle hi din road pe itni vendors aur customers the ki traffic complete mein strangled ho gayi #NightMarketJam,traffic
"Majuli island pe ek unusual brown pelican spotted ki gayi hai, out of its normal range, birders from Guwahati bhi aa rahe hain dekhne #PelicanSighting",animal
"Bongaigaon mein ek flyover approach pe parapet wall ka ek section gira, thankfully koi us side par nahi tha, concrete reinforcement exposed ho gaya hai #FlyoverDamage",road_damage
"Hailakandi town mein bazaar road pe baarish ke baad road ka naam nahi raha, sirf lake bana diya hai municipality ne effectively #HailakandiFail",pothole
"Dima Hasao mountain road pe ek truck bina load balancing ke chal raha tha aur ek curve pe load shift hua, truck leaned dangerously, driver managed to stop #UnbalancedLoad",accident
"Barpeta mein Manas ka overflow area barhta ja raha hai aur naye gaon doobe hain pichhle 24 ghante mein, cumulative count 15000 families ke upar ho gayi hai #ManasFloodUpdate",flood
"Jorhat airport ke paas ek pilot car ne road pe ek cyclist ko overtake karte waqt tyre brush kiya, cyclist gira lekin light injury, pilot car driver ruka aur help ki #AirportRoad",accident
"Digboi mein oil company vehicles aur public vehicles ek hi road share karti hain aur koi proper signage ya divider nahi hai, roz problem hai #OilTownTraffic",traffic
"Morigaon mein ek ped road pe gira late night mein aur ek bike usse takraya, biker seriously hurt tha, no warning signs were there #FallenTreeAccident",accident
"North Lakhimpur mein ek haathi ne ek mango tree ke paas ek car ko push kiya kyunki woh ped ke raaste mein tha, car shifted side, no injuries, par kafi scary scene #ElephantPushCar",animal
North Lakhimpur mein Subansiri ke paas ek road ka pura hissa flood mein khaali mitti ke upar the aur woh hissa toot ke river mein gir gaya. Permanent rerouting chahiye #RoadCollapse,road_damage
"Kokrajhar mein ek government construction truck ne ek private car ko ek road narrowing pe push kiya, car damaged, government driver argued it was car's fault #GovTruckAccident",accident
"Guwahati mein ek chai waali didi ke paas jaata hoon subah 7 baje se, unki chai mein kuch special hai, adrak ka proportion aur boiling time sab exact hoga unka #ChaiLife",none
"Dibrugarh ke Mancotta road pe ek 30 metre ka stretch itna cracked hai ki laga yahan earthquake aa gaya tha. Sunken road, open gaps, koi nahi dekhta #SunkenRoad",road_damage
"Kaziranga buffer zone mein ek hog deer ne suddun car ke saamne jump maari, driver ne emergency brake lagaya, deer sahi salamat gayi, driver dil pakde baith gaya #DeerFright",animal
"Hojai mein highway pe ek cyclist ko tez aadte chhote truck ne maara aur bhaag gaya, hit and run case tha, CCTV footage se plate number identify ho raha hai #HitAndRun",accident
"Digboi refinery road pe itne gaddhe hain ki bade bade trucks bhi dhak dhak chalte hain. Ek oilfield town mein yeh haal, bahut sharam ki baat hai #AssamOilTown",pothole
"Kamrup rural mein ek road ke bridge ke approach mein 2 feet ka gap ban gaya hai, bridge hai but approach damaged, effectively useless hain dono ek dusre ke bina #ApproachGap",road_damage
"Aaj pehli baar Assamese fish curry properly banaayi, YouTube tutorial se seekha. 3 attempts mein aakhir sahi bana. Khud pe proud hoon bahut #CookingAchievement",none
"Golaghat mein ek roadside dhaba mein aaj dal makhni aur paratha khaaya tha, dhaba wali maa ka haath tha jaise jaise, bilkul ghar jaisi khaana tha #DhabaFood",none
"Karimganj-Badarpur road pe ek jagah road ka jo material tha woh already stolen hai, literally concrete ka aggregate chip kar ke kuch log le gaye, unbelievable #StolenRoad",pothole
"Guwahati ke Chandrapur area mein ek great Indian horned owl spotted ki gayi road ke paas, unusual urban sighting, birders excited the #OwlSighting",animal
"Pobitora Wildlife Sanctuary mein gaya tha subah, jeep safari mein wild buffalo ke itne kareeb se milna bahut thrill tha, heart abhi bhi fast hai #WildlifeLove",none
"Aaj Tinsukia-Digboi route pe ek cargo truck ka tyre burst hua pothole mein, truck overturn ho gayi lucky hai koi pedestrian nahi tha us waqt #TruckOverturn",pothole
"Assam silk fair gaya tha Guwahati mein, Muga aur Pat silk ke kapde dekh ke aankhein khushi se bhar aayi, wearable art hai yeh sab literally #AssamSilk",none
"Rangapara town mein roz subah school time pe children ko pothole waali road pe se jaana padta hai. Kab tak yeh chalega, koi local neta sunega kya #ChildSafety",pothole
Udalguri district mein Pagladiya river overflow ke baad 30 gaon mein alert jaari kiya gaya hai. Log high ground ki taraf move ho rahe hain #Udalguri,flood
"Biswanath mein school ke saamne ek auto driver ne suddenly brake lagaaya aur peeche waaley biker ne mara, kids dekh rahe the, bohot trauma wala scene tha #SchoolZone",accident
"Aaj Silchar mein ek amazing local artist ki exhibition thi jisme Barak valley ki paintings thi, itni detail thi local landscapes ki, genuinely moving tha #LocalArtist",none
"Biswanath mein flood waters slow ho rahe hain finally, but aftermath bahut bada hai, recon survey aaj shuru hua, reconstruction 2 saal ka kaam hai #FloodAftermath",flood
Karbi Anglong ke Diphu-Hamren road pe ek truck brakes fail hone ki wajah se slope pe neeche ki taraf aaya aur roadside tree se takra gaya #BrakesFail,accident
"Kaziranga pe gaya tha family trip pe, ek bhi rhinoceros ka cub dekha, literally cried a little, itna cute tha. Nature is healing honestly #KazirangaMoments",none
"Assam mein ek startup ecosystem ban raha hai slowly but steadily, Guwahati mein kuch interesting companies hain now, dekh ke bahut khushi hoti hai #StartupAssam",none
"Majuli mein ferry ghat ke paas ek loading truck ka brake fail hua aur ferry ke saamne ruk gaya, kaafi tez impact tha, driver ko minor injuries aayin #FerryGhatAccident",accident
"Aaj Dibrugarh mein pehli baar 30 saal mein ek market area flooded hua jo kabhi nahi hota tha, old timers shocked the, yeh climate change effects hain clearly #ClimateFlood",flood
"Lakhimpur ke paas Subansiri bridge approach road mein ek section mein underground water ka pressure build hua aur road ko surface pe push kiya, swelling thi #WaterPressureRoad",road_damage
"Kamrup district ke Hajo road pe pothole itna deep tha ki ek cyclist andar ghus gaya, bahut mushkil se bahar aaya. Municipality jab uthegi tab dekhenge #NorthEastIndia",pothole
Dhubri ke paas Brahmaputra abhi bhi khatarnak level pe hai aur Bangladesh border ke paas flood situation critical ho rahi hai #BrahmaputraCrisis,flood
"Kaziranga ke paas wild elephant ne ek scooter ko truck samjhke thoda push kiya, scooter wala bhai fortunately ped ke paas khada tha aur timely side ho gaya #ElephantEncounter",animal
"Nagaon mein ek town road ke neeche drain pipe tha jo quietly erode ho raha tha, ek din road suddenly 4 feet neeche ho gaya, car almost phas gayi #SuddenSinkhole",road_damage
"Majuli pe ek sattra mein gaya tha sham ko, monks performing naam kirtan, incense, candlelight, tranquil lake nearby - one of my top 5 India moments easily #MajuliNight",none
"Tezpur ke paas Kaliabhomora bridge pe ek truck ka engine fail hua aur usne half bridge block kar di, alternate bridge 20 km door hai, bahut problem tha #BridgeBlock",traffic
